unit,icd10,age,sex,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
RT,X85-Y09_Y871,TOTAL,F,AL,: ,: ,: ,: ,1.4 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
RT,X85-Y09_Y871,TOTAL,F,AT,1.2 ,1.1 ,1.0 ,0.5 ,0.8 ,0.7 ,0.8 ,0.6 ,0.6 ,0.7 ,0.6 ,0.44 ,0.48 ,0.45 ,0.39 ,0.66 ,0.56 ,0.58 ,0.62 p,0.57 p,0.48 
RT,X85-Y09_Y871,TOTAL,F,BE,: ,: ,: ,1.1 ,1.6 ,1.3 ,1.1 ,1.2 ,0.8 ,1.0 ,0.8 ,1.13 ,0.85 ,0.92 ,0.77 ,0.94 ,0.84 ,0.94 ,0.78 p,0.62 p,0.49 
RT,X85-Y09_Y871,TOTAL,F,BG,2.1 ,1.2 ,1.3 ,1.2 ,1.3 ,1.1 ,1.1 ,0.8 ,1.1 ,1.0 ,0.9 ,0.72 ,0.71 ,0.8 ,0.8 ,0.61 ,0.68 ,0.78 ,0.85 p,0.52 p,0.49 
RT,X85-Y09_Y871,TOTAL,F,CH,0.8 ,0.9 ,1.1 ,0.7 ,0.9 ,0.8 ,0.7 ,0.6 ,0.5 ,0.7 ,0.5 ,0.56 ,0.44 ,0.61 ,0.5 ,0.49 ,0.41 ,0.35 ,0.45 p,0.41 p,0.59 
RT,X85-Y09_Y871,TOTAL,F,CY,: ,: ,: ,: ,1.1 ,0.2 ,0.7 ,0.4 ,0.4 ,1.4 ,: ,1.27 ,0.8 ,0.63 ,0.95 ,0.76 ,1.01 ,0.24 ,1.71 p,1.74 p,0.86 
RT,X85-Y09_Y871,TOTAL,F,CZ,1.0 ,1.0 ,1.0 ,1.0 ,0.8 ,0.8 ,0.8 ,0.9 ,0.5 ,0.7 ,0.8 ,0.63 ,0.73 ,0.83 ,0.57 ,0.63 ,0.48 ,0.55 ,0.48 p,0.63 p,0.55 
RT,X85-Y09_Y871,TOTAL,F,DE,0.7 ,0.6 ,0.7 ,0.6 ,0.6 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.47 ,0.49 ,0.52 ,0.46 ,0.52 ,0.45 ,0.4 ,0.39 p,0.34 p,0.4 
RT,X85-Y09_Y871,TOTAL,F,DK,1.1 ,0.7 ,0.4 ,1.0 ,0.5 ,0.6 ,0.4 ,0.7 ,0.5 ,0.5 ,: ,0.43 ,0.24 ,0.21 ,0.69 ,0.45 ,0.34 ,0.36 ,0.43 p,0.45 p,0.29 
RT,X85-Y09_Y871,TOTAL,F,EE,4.9 ,6.0 ,5.0 ,5.5 ,2.7 ,4.3 ,3.7 ,2.8 ,2.7 ,3.4 ,1.9 ,1.83 ,2.41 ,2.6 ,1.15 ,1.45 ,1.39 ,1.31 ,0.71 p,0.69 p,1.43 
RT,X85-Y09_Y871,TOTAL,F,EL,0.8 ,0.6 ,0.4 ,0.6 ,0.5 ,0.7 ,0.3 ,0.5 ,0.6 ,0.8 ,0.6 ,0.52 ,0.59 ,0.8 ,0.48 ,0.53 ,0.38 ,0.44 ,0.48 p,0.37 p,0.43 
RT,X85-Y09_Y871,TOTAL,F,ES,0.5 ,0.4 ,0.5 ,0.6 ,0.9 ,0.4 ,0.5 ,0.5 ,0.5 ,0.4 ,0.5 ,0.41 ,0.41 ,0.43 ,0.45 ,0.48 ,0.42 ,0.47 ,0.39 p,0.43 p,0.41 
RT,X85-Y09_Y871,TOTAL,F,EU27_2020,: ,: ,0.9 e,0.9 e,0.9 e,0.8 e,0.7 e,0.7 e,0.7 e,0.7 e,0.7 e,0.62 ,0.59 ,0.61 ,0.53 ,0.54 ,0.47 ,0.47 ,0.43 p,0.43 p,0.43 
RT,X85-Y09_Y871,TOTAL,F,EU28,: ,: ,0.8 e,0.8 e,0.8 e,0.7 e,0.7 e,0.6 e,0.6 e,0.6 e,0.6 e,0.56 d,0.53 d,0.54 d,0.48 ,0.49 ,0.42 ,0.42 ,0.39 p,: ,: 
RT,X85-Y09_Y871,TOTAL,F,FI,1.6 ,1.8 ,1.7 ,1.1 ,1.1 ,1.1 ,1.1 ,1.5 ,1.5 ,1.0 ,0.8 ,1.24 ,1.31 ,0.72 ,0.92 ,0.58 ,0.7 ,0.92 ,0.63 p,0.82 p,0.57 
RT,X85-Y09_Y871,TOTAL,F,FR,: ,0.7 ,0.7 ,0.6 ,0.7 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.5 ,0.45 ,0.48 ,0.45 ,0.32 ,0.36 ,0.27 ,0.3 ,0.32 p,0.34 p,0.35 
RT,X85-Y09_Y871,TOTAL,F,HR,: ,: ,1.2 ,1.0 ,1.5 ,1.1 ,1.2 ,1.0 ,1.0 ,1.2 ,1.3 ,0.82 ,0.64 d,0.95 d,0.92 ,0.82 ,0.97 ,0.93 ,0.37 p,0.51 p,0.83 
RT,X85-Y09_Y871,TOTAL,F,HU,2.1 ,1.6 ,2.0 ,1.5 ,1.6 ,1.7 ,1.6 ,1.4 ,1.6 ,1.2 ,1.1 ,1.41 d,1.07 d,0.98 d,0.8 ,1.09 ,0.74 ,0.7 ,0.64 p,0.72 p,0.59 
RT,X85-Y09_Y871,TOTAL,F,IE,0.4 ,0.3 ,0.4 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.2 ,0.2 ,0.03 ,0.4 ,0.2 ,0.22 ,0.2 ,0.06 ,0.11 ,0.12 p,0.07 p,0.07 
RT,X85-Y09_Y871,TOTAL,F,IS,1.1 ,: ,0.5 ,: ,1.7 ,: ,: ,: ,0.5 ,: ,: ,0.52 ,0.66 ,0.45 ,0.53 ,: ,0.63 ,1.13 ,0 p,0 p,1.24 
RT,X85-Y09_Y871,TOTAL,F,IT,0.5 ,0.4 ,0.5 ,0.6 ,: ,: ,0.5 ,0.5 ,0.4 ,0.5 ,0.4 ,0.35 ,0.37 ,0.41 ,0.35 ,0.31 ,0.36 ,0.32 ,0.31 p,0.25 p,0.28 
RT,X85-Y09_Y871,TOTAL,F,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 p,0 p,0 
RT,X85-Y09_Y871,TOTAL,F,LT,5.6 ,5.2 ,3.3 ,5.7 ,5.1 ,5.1 ,4.0 ,3.5 ,4.3 ,3.2 ,3.1 ,2.85 ,2.25 ,2.5 ,1.88 ,2.44 ,1.8 ,1.45 ,0.69 p,0.98 p,1.04 
RT,X85-Y09_Y871,TOTAL,F,LU,0.9 ,1.4 ,1.6 ,1.1 ,0.5 ,0.8 ,0.7 ,0.4 ,0.4 ,0.4 ,1.7 ,: ,: ,0.33 ,0.99 ,0.67 ,0.29 ,0 ,0.64 p,0.72 p,0 
RT,X85-Y09_Y871,TOTAL,F,LV,6.4 ,6.9 ,7.0 ,6.7 ,6.5 ,5.3 ,4.9 ,3.9 ,4.5 ,2.7 ,3.5 ,3 ,2.99 ,3.05 ,3.5 ,2.87 ,1.95 ,1.99 ,1.94 p,1.13 p,1.88 
RT,X85-Y09_Y871,TOTAL,F,MK,2.0 ,1.4 ,1.2 ,1.8 ,2.1 ,1.0 ,1.4 ,1.3 ,0.8 ,0.9 ,1.3 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
RT,X85-Y09_Y871,TOTAL,F,MT,1.1 ,2.2 ,1.0 ,: ,1.8 ,0.6 ,: ,0.0 ,0.5 ,1.0 ,0.6 ,0.92 ,1.05 ,: ,: ,0.45 ,0.86 ,0.51 ,1.39 p,0.67 p,0.3 
RT,X85-Y09_Y871,TOTAL,F,NL,0.7 ,0.8 ,0.7 ,0.9 ,0.6 ,0.7 ,0.6 ,0.5 ,0.6 ,0.6 ,0.7 ,0.61 ,0.57 ,0.67 ,0.37 ,0.5 ,0.41 ,0.5 ,0.44 p,0.49 p,0.5 
RT,X85-Y09_Y871,TOTAL,F,NO,1.0 ,0.5 ,0.6 ,0.9 ,0.6 ,0.5 ,1.1 ,0.7 ,0.3 ,0.6 ,0.6 ,1.93 ,0.35 ,0.72 ,0.31 ,0.47 ,0.54 ,0.42 ,0.33 p,0.66 p,0.64 
RT,X85-Y09_Y871,TOTAL,F,PL,1.2 ,1.0 ,1.0 ,0.9 ,0.7 ,0.8 ,0.9 ,0.6 ,0.7 ,0.6 ,0.6 ,0.64 ,0.51 ,0.62 ,0.45 ,0.45 ,0.41 ,0.38 ,0.26 p,0.33 p,0.3 
