unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
EUR_HAB,AT,75.6 ,80.3 ,81.4 ,85.4 ,87.2 ,84.5 ,85.7 ,87.2 ,93.2 ,99.0 ,98.4 ,100.4 ,104.3 ,105.4 ,112.5 ,117.0 ,116.6 ,119.1 ,120.5 ,121.2 ,121.3 ,125.9 
EUR_HAB,BE,: ,68.7 ,77.2 ,80.5 ,80.3 ,82.5 ,90.3 ,86.3 ,94.5 ,91.7 ,95.2 ,95.7 ,105.5 ,100.3 ,96.8 ,91.1 ,100.1 ,100.3 ,101.8 ,102.1 ,104.1 p,114.2 p
EUR_HAB,BG,6.8 ,7.0 ,8.5 ,11.2 ,14.9 ,17.9 ,22.4 ,31.3 ,34.8 ,33.9 ,27.8 ,34.6 ,33.9 ,36.6 ,39.3 ,42.3 ,42.1 ,46.8 ,48.5 ,59.6 ,63.6 ,73.6 
EUR_HAB,CH,102.5 ,107.3 ,114.5 ,115.0 ,119.0 ,123.7 ,123.7 ,122.6 ,121.5 ,130.7 ,146.6 ,186.8 ,188.5 ,185.3 ,189.3 ,217.1 ,208.2 ,205.7 ,201.0 ,214.5 ,226.6 ,226.7 
EUR_HAB,CY,20.6 ,22.0 ,24.0 ,27.8 ,27.9 ,29.2 ,31.2 ,32.3 ,31.7 ,31.9 ,30.7 ,30.9 ,30.1 ,29.7 ,25.6 ,25.5 ,27.0 ,30.5 ,40.0 ,34.5 ,37.6 ,36.8 p
EUR_HAB,CZ,19.5 ,22.1 ,27.4 ,27.9 ,28.3 ,34.3 ,35.9 ,39.1 ,46.2 ,45.5 ,44.6 ,46.5 ,44.0 ,45.3 ,44.0 ,51.9 ,51.9 ,54.7 ,59.7 ,65.4 ,65.8 ,67.9 
EUR_HAB,DE,109.8 ,114.0 ,117.6 ,117.3 ,118.4 ,122.3 ,124.3 ,124.5 ,127.0 ,130.8 ,132.6 ,134.6 ,136.8 ,140.2 ,145.6 ,146.7 ,147.0 ,151.4 ,156.8 ,162.3 p,160.7 p,172.2 p
EUR_HAB,DK,59.1 ,59.8 ,60.9 ,64.7 ,68.0 ,68.0 ,74.3 ,77.9 ,81.8 ,93.8 ,85.3 ,99.1 ,89.8 ,79.4 ,79.8 ,79.6 ,80.5 ,77.0 ,79.5 ,85.5 ,88.6 ,93.6 
EUR_HAB,EA19,: ,72.9 ,77.9 ,81.1 ,79.7 ,83.4 ,84.4 ,86.8 ,90.5 ,94.3 ,94.5 ,97.2 ,94.5 ,96.4 ,97.7 ,98.9 ,99.8 ,102.5 ,106.6 ,109.8 ,109.9 ,116.1 
EUR_HAB,EA20,: ,72.4 ,77.4 ,80.6 ,79.2 ,82.9 ,83.9 ,86.3 ,90.0 ,93.9 ,94.0 ,96.6 ,93.9 ,95.8 ,97.1 ,98.3 ,99.2 ,101.9 ,106.1 ,109.3 ,109.3 ,115.5 
EUR_HAB,EE,11.3 ,11.3 ,12.5 ,14.8 ,19.0 ,20.8 ,23.1 ,30.8 ,41.7 ,31.6 ,30.7 ,33.3 ,36.4 ,40.1 ,47.1 ,48.0 ,50.7 ,55.3 ,58.2 ,65.0 ,65.0 ,64.4 
EUR_HAB,EL,: ,35.6 ,38.5 ,39.3 ,42.9 ,44.3 ,47.0 ,52.0 ,69.1 ,76.3 ,60.7 b,59.1 ,52.8 ,57.1 ,67.5 ,50.9 ,54.1 ,55.4 ,62.5 ,62.4 ,63.0 p,60.9 p
EUR_HAB,ES,43.7 ,48.9 ,54.3 ,61.8 ,61.5 ,65.4 ,67.7 ,75.6 ,83.2 ,89.0 ,90.0 ,87.5 ,82.5 ,80.7 ,79.6 ,83.5 ,83.4 ,85.0 ,88.0 ,90.2 ,92.1 p,96.8 p
