lev_perc,unit,geo\time,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
FBAD,PC,AT,13 ,14 ,7 ,8 ,7 ,7 ,8 
FBAD,PC,BE,19 ,21 ,18 ,17 ,19 ,18 ,23 
FBAD,PC,BG,35 ,37 ,31 ,35 ,31 ,33 ,30 
FBAD,PC,CY,19 ,14 ,18 ,15 ,20 ,21 ,25 
FBAD,PC,CZ,32 ,31 ,28 ,27 ,25 ,27 ,26 
FBAD,PC,DE,13 ,12 ,14 ,15 ,11 ,11 ,8 
FBAD,PC,DK,6 ,5 ,7 ,5 ,6 ,8 ,6 
FBAD,PC,EE,12 ,12 ,11 ,12 ,12 ,8 ,14 
FBAD,PC,EL,26 ,25 ,22 ,24 ,24 ,23 ,28 
FBAD,PC,ES,38 ,39 ,32 ,37 ,34 ,32 ,35 
FBAD,PC,EU27_2020,26 e,25 e,23 e,24 e,23 e,23 b,23 
FBAD,PC,EU28,24 ,23 ,22 ,22 ,: ,: ,: 
FBAD,PC,FI,10 ,11 ,9 ,9 ,7 ,11 ,7 
FBAD,PC,FR,29 ,26 ,23 ,23 ,22 ,21 ,21 
FBAD,PC,HR,38 ,35 ,34 ,34 ,37 ,35 ,38 
FBAD,PC,HU,22 ,21 ,22 ,21 ,24 ,24 ,24 
FBAD,PC,IE,13 ,11 ,12 ,10 ,12 ,15 ,14 
FBAD,PC,IT,36 ,38 ,32 ,29 ,37 ,38 ,34 
FBAD,PC,LT,28 ,25 ,22 ,21 ,26 ,25 ,21 
FBAD,PC,LU,6 ,7 ,7 ,8 ,7 ,6 ,6 
FBAD,PC,LV,38 ,36 ,34 ,35 ,31 ,30 ,28 
FBAD,PC,MT,22 ,23 ,18 ,18 ,20 ,18 ,20 
FBAD,PC,NL,9 ,8 ,7 ,11 ,7 ,8 ,10 
FBAD,PC,PL,32 ,26 ,29 ,30 ,31 ,33 ,34 
FBAD,PC,PT,31 ,30 ,32 ,33 ,34 ,33 ,37 
FBAD,PC,RO,23 ,19 ,24 ,27 ,28 ,24 ,24 
FBAD,PC,SE,10 ,12 ,11 ,10 ,8 ,13 ,13 
FBAD,PC,SI,32 ,30 ,32 ,28 ,31 ,25 ,28 
FBAD,PC,SK,36 ,35 ,39 ,36 ,38 ,41 ,46 
FBAD,PC,UK,12 ,11 ,13 ,10 ,12 ,: ,: 
FGOOD,PC,AT,59 ,58 ,58 ,65 ,62 ,62 ,59 
FGOOD,PC,BE,56 ,54 ,55 ,53 ,54 ,57 ,51 
FGOOD,PC,BG,21 ,24 ,27 ,31 ,34 ,29 ,28 
FGOOD,PC,CY,46 ,49 ,46 ,49 ,44 ,41 ,44 
FGOOD,PC,CZ,44 ,44 ,46 ,46 ,50 ,45 ,52 
FGOOD,PC,DE,54 ,59 ,55 ,52 ,55 ,60 ,50 
FGOOD,PC,DK,51 ,46 ,49 ,47 ,45 ,40 ,42 
FGOOD,PC,EE,56 ,42 ,54 ,49 ,48 ,58 ,49 
FGOOD,PC,EL,41 ,44 ,48 ,48 ,47 ,47 ,46 
FGOOD,PC,ES,27 ,28 ,32 ,32 ,36 ,35 ,34 
FGOOD,PC,EU27_2020,42 e,45 e,44 e,44 e,43 e,45 b,42 
FGOOD,PC,EU28,43 ,44 ,45 ,44 ,: ,: ,: 
FGOOD,PC,FI,65 ,62 ,65 ,62 ,61 ,57 ,60 
FGOOD,PC,FR,49 ,50 ,52 ,53 ,51 ,52 ,52 
FGOOD,PC,HR,21 ,24 ,17 ,14 ,17 ,13 ,15 
FGOOD,PC,HU,44 ,43 ,42 ,37 ,42 ,35 ,35 
