unit,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
NR,AL,33 ,31 ,33 ,36 ,39 ,38 ,36 ,35 ,36 ,35 ,36 
NR,AT,69 ,69 ,72 ,76 ,75 ,75 ,76 ,77 ,76 ,74 ,71 
NR,BE,75 ,75 ,76 ,77 ,77 ,75 ,75 ,75 ,76 ,73 ,73 
NR,BG,41 ,41 ,43 ,41 ,41 ,43 ,42 ,43 ,44 ,42 ,43 
NR,CH,86 ,85 ,86 ,86 ,86 ,85 ,85 ,85 ,85 ,84 ,82 
NR,CY,66 ,63 ,63 ,61 ,55 ,57 ,59 ,58 ,57 ,53 ,52 
NR,CZ,49 ,48 ,51 ,56 ,55 ,57 ,59 ,56 ,54 ,54 ,56 
NR,DE,79 ,78 ,79 ,81 ,81 ,81 ,80 ,80 ,80 ,80 ,79 
NR,DK,90 ,91 ,92 ,91 ,90 ,88 ,88 ,87 ,88 ,88 ,90 
NR,EE,64 ,68 ,69 ,70 ,70 ,71 ,73 ,74 ,75 ,74 ,74 
NR,EL,36 ,40 ,43 ,46 ,44 ,48 ,45 ,48 ,50 ,49 ,52 
NR,ES,65 ,59 ,60 ,58 ,58 ,57 ,58 ,62 ,62 ,61 ,60 
NR,EU27_2020,63 ,63 ,64 ,65 ,64 ,64 ,64 ,64 ,64 ,64 ,64 
NR,FI,90 ,89 ,89 ,90 ,89 ,85 ,85 ,86 ,85 ,88 ,87 
NR,FR,71 ,71 ,69 ,70 ,69 ,70 ,72 ,69 ,69 ,71 ,72 
NR,HR,46 ,48 ,48 ,51 ,49 ,49 ,48 ,47 ,47 ,47 ,50 
NR,HU,55 ,54 ,54 ,51 ,48 ,45 ,46 ,44 ,44 ,43 ,42 
NR,IE,69 ,72 ,74 ,75 ,73 ,74 ,73 ,74 ,72 ,74 ,77 
NR,IS,82 ,78 ,79 ,79 ,78 ,77 ,76 ,78 ,75 ,74 ,74 
NR,IT,42 ,43 ,43 ,44 ,47 ,50 ,52 ,53 ,53 ,56 ,56 
NR,JP,74 ,74 ,76 ,75 ,72 ,73 ,73 ,73 ,74 ,73 ,73 
NR,KR,56 ,55 ,55 ,54 ,53 ,54 ,57 ,59 ,61 ,62 ,63 
NR,LT,54 ,57 ,58 ,59 ,59 ,59 ,59 ,60 ,60 ,61 ,62 
NR,LU,80 ,80 ,82 ,85 ,81 ,82 ,81 ,80 ,80 ,81 ,77 
NR,LV,49 ,53 ,55 ,56 ,57 ,58 ,58 ,56 ,57 ,59 ,59 
NR,ME,41 ,44 ,42 ,44 ,45 ,46 ,45 ,45 ,45 ,46 ,45 
NR,MK,43 ,44 ,45 ,42 ,37 ,35 ,37 ,35 ,35 ,39 ,40 
NR,MT,57 ,56 ,55 ,60 ,55 ,56 ,54 ,54 ,53 ,54 ,51 
NR,NL,84 ,83 ,83 ,84 ,83 ,82 ,82 ,82 ,82 ,82 ,80 
NR,NO,85 ,86 ,86 ,88 ,85 ,85 ,84 ,84 ,84 ,85 ,84 
NR,PL,58 ,60 ,61 ,63 ,62 ,60 ,60 ,58 ,56 ,56 ,55 
NR,PT,63 ,62 ,63 ,64 ,62 ,63 ,64 ,62 ,61 ,62 ,62 
NR,RO,44 ,43 ,43 ,46 ,48 ,48 ,47 ,44 ,44 ,45 ,46 
NR,RS,39 ,42 ,41 ,40 ,42 ,41 ,39 ,39 ,38 ,38 ,36 
NR,RU,28 ,28 ,27 ,29 ,29 ,29 ,28 ,28 ,30 ,29 ,28 
NR,SE,88 ,89 ,87 ,89 ,88 ,84 ,85 ,85 ,85 ,85 ,83 
NR,SI,61 ,57 ,58 ,60 ,61 ,61 ,60 ,60 ,60 ,57 ,56 
NR,SK,46 ,47 ,50 ,51 ,51 ,50 ,50 ,50 ,49 ,52 ,53 
NR,TR,49 ,50 ,45 ,42 ,41 ,40 ,41 ,39 ,40 ,38 ,36 
NR,UK,74 ,76 ,78 ,81 ,81 ,82 ,80 ,77 ,77 ,78 ,73 
NR,US,73 ,73 ,74 ,76 ,74 ,75 ,71 ,69 ,67 ,67 ,69 
