unit,partner,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
PC,COMM,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,73 ,: ,: ,: ,: 
PC,COMM,AT,41 ,48 ,51 ,42 ,49 ,43 ,45 ,48 ,44 ,46 ,41 ,37 ,40 ,42 ,51 ,34 ,40 ,45 ,46 ,55 ,49 ,43 ,46 
PC,COMM,BE,57 ,61 ,64 ,55 ,68 ,61 ,68 ,67 ,64 ,58 ,64 ,55 ,54 ,56 ,47 ,49 ,53 ,58 ,58 ,61 ,50 ,61 ,50 
PC,COMM,BG,: ,: ,: ,: ,50 ,48 ,51 ,46 ,51 ,59 ,57 ,49 ,39 ,50 ,46 ,41 ,47 ,51 ,45 ,47 ,42 ,43 ,44 
PC,COMM,CY,: ,: ,: ,: ,59 ,57 ,55 ,57 ,53 ,56 ,49 ,42 ,34 ,21 ,25 ,21 ,28 ,41 ,43 ,53 ,39 ,36 ,46 
PC,COMM,CZ,: ,: ,: ,: ,51 ,53 ,59 ,57 ,54 ,59 ,50 ,40 ,43 ,42 ,37 ,27 ,30 ,35 ,30 ,35 ,34 ,52 ,49 
PC,COMM,DE,36 ,42 ,47 ,40 ,44 ,43 ,42 ,46 ,43 ,43 ,39 ,32 ,39 ,34 ,36 ,34 ,41 ,49 ,54 ,55 ,50 ,44 ,47 
PC,COMM,DK,64 ,68 ,69 ,58 ,53 ,51 ,55 ,61 ,53 ,55 ,61 ,55 ,62 ,56 ,56 ,53 ,50 ,58 ,56 ,65 ,67 ,69 ,66 
PC,COMM,EE,: ,: ,: ,: ,58 ,48 ,59 ,57 ,58 ,62 ,62 ,47 ,55 ,57 ,47 ,42 ,45 ,47 ,49 ,53 ,62 ,63 ,62 
PC,COMM,EL,51 ,54 ,56 ,60 ,61 ,58 ,68 ,69 ,56 ,58 ,31 ,28 ,20 ,20 ,23 ,20 ,19 ,23 ,28 ,34 ,29 ,32 ,33 
PC,COMM,ES,62 ,59 ,59 ,55 ,57 ,48 ,49 ,53 ,52 ,50 ,37 ,29 ,23 ,23 ,26 ,26 ,30 ,38 ,31 ,42 ,36 ,40 ,40 
PC,COMM,EU27_2020,: ,: ,: ,: ,54 e,50 e,52 e,54 e,49 e,49 e,47 e,39 e,42 e,37 e,39 e,36 e,39 e,44 e,45 ,47 ,45 ,47 ,47 
PC,COMM,EU28,46 ,50 ,53 ,46 ,52 ,46 ,48 ,50 ,47 ,46 ,44 ,36 ,40 ,35 ,38 ,35 ,38 ,42 ,43 ,46 ,: ,: ,: 
PC,COMM,FI,46 ,52 ,55 ,51 ,58 ,48 ,54 ,53 ,57 ,57 ,54 ,53 ,56 ,53 ,55 ,50 ,58 ,59 ,61 ,65 ,58 ,56 ,52 
PC,COMM,FR,49 ,54 ,58 ,50 ,54 ,44 ,47 ,54 ,45 ,39 ,42 ,33 ,42 ,32 ,34 ,30 ,31 ,36 ,36 ,37 ,35 ,37 ,30 
PC,COMM,HR,: ,: ,: ,: ,48 ,44 ,43 ,39 ,37 ,34 ,40 ,38 ,37 ,43 ,41 ,48 ,43 ,42 ,44 ,46 ,51 ,48 ,52 
PC,COMM,HU,: ,: ,: ,: ,64 ,58 ,60 ,61 ,56 ,54 ,64 ,51 ,54 ,50 ,51 ,49 ,48 ,53 ,52 ,62 ,58 ,62 ,60 
PC,COMM,IE,63 ,64 ,67 ,61 ,66 ,60 ,60 ,60 ,50 ,51 ,46 ,32 ,40 ,41 ,39 ,40 ,51 ,52 ,50 ,56 ,76 ,74 ,63 
PC,COMM,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,50 ,40 ,: ,47 ,54 ,: ,: ,: ,: ,: ,: ,: ,: 
PC,COMM,IT,61 ,62 ,65 ,60 ,60 ,57 ,52 ,50 ,49 ,51 ,51 ,40 ,40 ,32 ,33 ,33 ,31 ,39 ,36 ,42 ,33 ,45 ,51 
PC,COMM,LT,: ,: ,: ,: ,62 ,51 ,59 ,53 ,55 ,49 ,55 ,45 ,56 ,51 ,58 ,56 ,58 ,58 ,57 ,65 ,56 ,72 ,54 
PC,COMM,LU,60 ,67 ,74 ,61 ,67 ,63 ,63 ,55 ,57 ,59 ,64 ,56 ,56 ,55 ,57 ,58 ,63 ,57 ,57 ,65 ,60 ,60 ,54 
PC,COMM,LV,: ,: ,: ,: ,41 ,42 ,46 ,39 ,38 ,38 ,42 ,35 ,40 ,39 ,45 ,36 ,43 ,45 ,41 ,46 ,48 ,61 ,45 
PC,COMM,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,47 ,: ,39 ,42 ,45 ,45 ,: ,45 ,: ,: ,: ,: 
PC,COMM,MK,: ,: ,: ,: ,: ,: ,: ,53 ,45 ,48 ,41 ,32 ,37 ,39 ,41 ,38 ,42 ,: ,47 ,: ,: ,: ,: 
PC,COMM,MT,: ,: ,: ,: ,59 ,60 ,57 ,60 ,59 ,55 ,49 ,41 ,49 ,52 ,55 ,50 ,52 ,51 ,52 ,55 ,41 ,63 ,62 
PC,COMM,NL,52 ,59 ,60 ,52 ,57 ,51 ,54 ,59 ,62 ,61 ,61 ,47 ,53 ,47 ,54 ,50 ,51 ,56 ,61 ,65 ,60 ,63 ,58 
PC,COMM,PL,: ,: ,: ,: ,51 ,46 ,58 ,61 ,47 ,48 ,53 ,48 ,58 ,47 ,48 ,42 ,50 ,45 ,48 ,51 ,53 ,48 ,55 
PC,COMM,PT,52 ,58 ,58 ,56 ,61 ,65 ,60 ,59 ,53 ,61 ,52 ,41 ,44 ,31 ,43 ,42 ,45 ,45 ,54 ,58 ,54 ,83 ,70 
PC,COMM,RO,: ,: ,: ,: ,59 ,62 ,62 ,60 ,55 ,58 ,54 ,51 ,50 ,47 ,59 ,56 ,51 ,50 ,55 ,58 ,60 ,50 ,53 
PC,COMM,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,26 ,: ,: ,: ,: 
PC,COMM,SE,35 ,45 ,45 ,44 ,47 ,42 ,53 ,49 ,52 ,49 ,55 ,46 ,54 ,53 ,51 ,50 ,54 ,60 ,63 ,65 ,64 ,60 ,56 
PC,COMM,SI,: ,: ,: ,: ,64 ,56 ,73 ,61 ,61 ,46 ,51 ,40 ,47 ,39 ,40 ,30 ,33 ,36 ,36 ,35 ,44 ,52 ,46 
PC,COMM,SK,: ,: ,: ,: ,61 ,57 ,66 ,62 ,63 ,64 ,66 ,52 ,53 ,51 ,47 ,41 ,43 ,44 ,43 ,48 ,49 ,50 ,42 
PC,COMM,TR,: ,: ,: ,: ,39 ,33 ,32 ,17 ,19 ,18 ,11 ,16 ,20 ,28 ,14 ,34 ,27 ,: ,23 ,: ,: ,: ,: 
