indicator,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind17,DAC,PC,AT,0.23 ,0.34 ,0.26 ,0.20 ,0.23 ,0.52 ,0.47 ,0.50 ,0.43 ,0.30 ,0.32 ,0.27 ,0.28 ,0.27 ,0.28 ,0.35 ,0.42 ,0.30 ,0.26 b,0.28 ,0.30 ,0.31 
ind17,DAC,PC,BE,0.36 ,0.37 ,0.43 ,0.60 ,0.41 ,0.53 ,0.50 ,0.43 ,0.48 ,0.55 ,0.64 ,0.54 ,0.47 ,0.45 ,0.46 ,0.42 ,0.50 ,0.45 ,0.43 b,0.41 ,0.48 ,0.43 
ind17,DAC,PC,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.09 ,0.09 ,0.08 ,0.10 ,0.09 ,0.09 ,0.13 ,0.11 ,0.11 b,0.10 ,0.13 ,0.12 
ind17,DAC,PC,CH,0.32 ,0.33 ,0.32 ,0.36 ,0.39 ,0.42 ,0.38 ,0.37 ,0.42 ,0.44 ,0.39 ,0.46 ,0.47 ,0.46 ,0.49 ,0.51 ,0.53 ,0.45 ,0.44 b,0.44 ,0.49 ,0.50 
ind17,DAC,PC,CY,: ,: ,: ,: ,: ,0.09 ,0.15 ,0.17 ,0.17 ,0.20 ,0.23 ,0.16 ,0.11 ,0.10 ,0.09 ,0.09 ,: ,: ,0.12 b,0.09 ,0.06 ,0.07 
ind17,DAC,PC,CZ,: ,: ,: ,: ,0.11 ,0.11 ,0.12 ,0.11 ,0.12 ,0.12 ,0.13 ,0.12 ,0.12 ,0.11 ,0.11 ,0.12 ,0.14 ,0.15 ,0.13 b,0.13 ,0.13 ,0.13 
ind17,DAC,PC,DE,0.27 ,0.27 ,0.27 ,0.28 ,0.28 ,0.36 ,0.36 ,0.37 ,0.38 ,0.35 ,0.39 ,0.39 ,0.37 ,0.38 ,0.42 ,0.52 ,0.70 ,0.67 ,0.61 b,0.61 ,0.73 ,0.76 
ind17,DAC,PC,DK,1.06 ,1.03 ,0.96 ,0.84 ,0.85 ,0.81 ,0.80 ,0.81 ,0.82 ,0.88 ,0.91 ,0.85 ,0.83 ,0.85 ,0.86 ,0.85 ,0.75 ,0.74 ,0.72 b,0.72 ,0.72 ,0.71 
ind17,DAC,PC,EE,: ,: ,: ,: ,0.05 ,0.08 ,0.09 ,0.08 ,0.10 ,0.10 ,0.10 ,0.11 ,0.11 ,0.13 ,0.14 ,0.15 ,0.19 ,0.16 ,0.16 b,0.16 ,0.17 ,0.16 
ind17,DAC,PC,EL,0.20 ,0.17 ,0.21 ,0.21 ,0.16 ,0.17 ,0.17 ,0.16 ,0.21 ,0.19 ,0.17 ,0.15 ,0.13 ,0.10 ,0.11 ,0.12 ,0.19 ,0.16 ,0.13 b,0.18 ,0.17 ,0.16 
ind17,DAC,PC,ES,0.22 ,0.30 ,0.26 ,0.23 ,0.24 ,0.27 ,0.32 ,0.37 ,0.45 ,0.46 ,0.43 ,0.29 ,0.16 ,0.17 ,0.13 ,0.12 ,0.34 ,0.19 ,0.20 b,0.21 ,0.23 ,0.26 
ind17,DAC,PC,EU27_2020,0.32 ,0.34 ,0.36 ,0.36 ,0.35 ,0.42 ,0.41 ,0.40 ,0.42 ,0.43 ,0.44 ,0.43 ,0.40 ,0.39 ,0.38 ,0.42 ,0.49 ,0.47 ,0.43 b,0.41 ,0.50 ,0.49 
ind17,DAC,PC,FI,0.31 ,0.32 ,0.35 ,0.35 ,0.37 ,0.46 ,0.40 ,0.39 ,0.44 ,0.54 ,0.55 ,0.53 ,0.53 ,0.54 ,0.59 ,0.55 ,0.44 ,0.42 ,0.36 b,0.42 ,0.47 ,0.47 
ind17,DAC,PC,FR,0.30 ,0.31 ,0.37 ,0.40 ,0.41 ,0.47 ,0.47 ,0.38 ,0.39 ,0.47 ,0.50 ,0.46 ,0.45 ,0.41 ,0.37 ,0.37 ,0.38 ,0.43 ,0.43 b,0.44 ,0.53 ,0.51 
ind17,DAC,PC,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.08 ,0.13 ,0.09 ,0.07 ,0.10 ,0.13 b,0.12 ,0.13 ,0.13 
ind17,DAC,PC,HU,: ,: ,: ,: ,0.07 ,0.11 ,0.13 ,0.08 ,0.08 ,0.10 ,0.09 ,0.11 ,0.10 ,0.10 ,0.11 ,0.13 ,0.17 ,0.11 ,0.21 b,0.21 ,0.27 ,0.28 
ind17,DAC,PC,IE,0.29 ,0.33 ,0.40 ,0.39 ,0.39 ,0.42 ,0.54 ,0.55 ,0.59 ,0.54 ,0.52 ,0.51 ,0.47 ,0.46 ,0.38 ,0.32 ,0.32 ,0.32 ,0.31 b,0.32 ,0.31 ,0.30 
ind17,DAC,PC,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.23 ,0.22 ,0.24 ,0.28 ,0.28 ,0.28 b,0.25 ,0.27 ,0.28 
ind17,DAC,PC,IT,0.13 ,0.15 ,0.20 ,0.17 ,0.15 ,0.29 ,0.20 ,0.19 ,0.22 ,0.16 ,0.15 ,0.20 ,0.14 ,0.17 ,0.19 ,0.22 ,0.27 ,0.30 ,0.25 b,0.22 ,0.22 ,0.29 
ind17,DAC,PC,LT,: ,: ,: ,: ,0.04 ,0.06 ,0.08 ,0.11 ,0.11 ,0.11 ,0.10 ,0.13 ,0.13 ,0.11 ,0.10 ,0.12 ,0.14 ,0.13 ,0.12 b,0.13 ,0.13 ,0.14 
ind17,DAC,PC,LU,0.70 ,0.77 ,0.78 ,0.86 ,0.79 ,0.79 ,0.89 ,0.92 ,0.97 ,1.04 ,1.05 ,0.97 ,1.00 ,1.00 ,1.06 ,0.95 ,1.00 ,1.00 ,0.98 b,1.03 ,1.03 ,0.99 
ind17,DAC,PC,LV,: ,: ,: ,: ,0.06 ,0.07 ,0.06 ,0.06 ,0.07 ,0.07 ,0.06 ,0.07 ,0.07 ,0.08 ,0.08 ,0.09 ,0.11 ,0.11 ,0.10 b,0.10 ,0.12 ,0.12 
ind17,DAC,PC,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.18 ,0.18 ,0.25 ,0.23 ,0.20 ,0.20 ,0.17 ,0.20 ,0.21 ,0.25 b,0.30 ,0.40 ,0.34 
ind17,DAC,PC,NL,0.84 ,0.82 ,0.81 ,0.80 ,0.73 ,0.82 ,0.81 ,0.81 ,0.80 ,0.82 ,0.81 ,0.75 ,0.71 ,0.67 ,0.64 ,0.75 ,0.65 ,0.60 ,0.62 b,0.59 ,0.59 ,0.52 
ind17,DAC,PC,NO,0.76 ,0.80 ,0.89 ,0.92 ,0.87 ,0.94 ,0.89 ,0.95 ,0.89 ,1.06 ,1.05 ,0.96 ,0.93 ,1.07 ,1.00 ,1.05 ,1.12 ,0.99 ,0.94 b,1.03 ,1.11 ,0.93 
ind17,DAC,PC,PL,: ,: ,: ,: ,0.05 ,0.07 ,0.09 ,0.10 ,0.08 ,0.09 ,0.08 ,0.08 ,0.09 ,0.10 ,0.09 ,0.10 ,0.15 ,0.13 ,0.14 b,0.14 ,0.14 ,0.15 
