fin_source,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
EXPCRED_OSUP,AT,229 ,-145 ,274 ,91 ,-272 ,-61 ,-70 ,2048 ,1266 ,-439 ,-536 ,-337 ,-327 ,-6 ,19 ,-25 ,-67 ,-69 ,-119 ,-58 ,-140 ,: 
EXPCRED_OSUP,BE,484 ,158 ,-496 ,-1549 ,-455 ,-710 ,-15 ,144 ,136 ,103 ,-196 ,6 ,259 ,587 ,141 ,224 ,-95 ,-346 ,-114 ,73 ,-69 ,: 
EXPCRED_OSUP,CH,542 ,-161 ,-140 ,48 ,191 ,-586 ,-415 ,2 ,-456 ,-425 ,17 ,-199 ,-151 ,-26 ,485 ,-127 ,182 ,363 ,1326 ,240 ,-125 ,: 
EXPCRED_OSUP,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,50 ,46 ,-34 ,: ,-149 ,: ,: ,: 
EXPCRED_OSUP,DE,1219 ,422 ,-559 ,-1219 ,158 ,-2997 ,-2310 ,468 ,1197 ,690 ,2796 ,7384 ,4882 ,4082 ,-121 ,1682 ,3116 ,6 ,1176 ,-1740 ,-1070 ,: 
EXPCRED_OSUP,DK,: ,: ,: ,: ,-13 ,-18 ,-88 ,-87 ,-56 ,: ,-33 ,0 ,-1 ,-1 ,482 ,335 ,236 ,665 ,1476 ,-243 ,609 ,: 
EXPCRED_OSUP,EL,3 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2 ,: ,: ,: 
EXPCRED_OSUP,ES,-15 ,-581 ,-144 ,-98 ,-163 ,-355 ,-219 ,-81 ,-77 ,-50 ,-236 ,-10 ,-49 ,-182 ,: ,: ,-203 ,-39 ,: ,: ,23 ,: 
EXPCRED_OSUP,EU27_2020,4552 ,2474 ,130 ,-3554 ,1937 ,3613 ,801 ,2593 ,2566 ,2231 ,8048 ,7192 ,3936 ,5350 ,138 ,3568 ,2760 ,-517 ,2674 ,-3293 ,201 ,: 
EXPCRED_OSUP,FI,728 ,399 ,51 ,-262 ,77 ,-130 ,11 ,55 ,: ,57 ,: ,793 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
