sitc06,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,CN_X_HK,MIO_EUR,AT,842 ,1046 ,1163 ,1571 ,1518 ,2120 ,2500 ,2928 ,3203 ,2542 ,3366 ,3909 ,4318 ,4485 ,4893 ,5266 ,4776 ,5140 ,5450 ,5606 ,5739 ,7902 
TOTAL,CN_X_HK,MIO_EUR,BE,4011 ,4316 ,4747 ,5481 ,6758 ,8552 ,10308 ,12623 ,13402 ,10610 ,12635 ,14730 ,13573 ,12999 ,13611 ,14883 ,14734 ,15175 ,15295 ,16759 ,18166 ,24810 
TOTAL,CN_X_HK,MIO_EUR,BG,74 ,98 ,146 ,249 ,377 ,568 ,770 ,609 ,756 ,456 ,493 ,679 ,758 ,767 ,865 ,969 ,1040 ,1110 ,1318 ,1484 ,1564 ,2107 
TOTAL,CN_X_HK,MIO_EUR,CY,129 ,147 ,164 ,199 ,180 ,194 ,232 ,333 ,386 ,307 ,340 ,297 ,259 ,202 ,591 ,342 ,545 ,587 ,388 ,410 ,445 ,426 
TOTAL,CN_X_HK,MIO_EUR,CZ,755 ,1198 ,1992 ,2417 ,1881 ,1677 ,2606 ,4336 ,4721 ,4303 ,6929 ,8313 ,6965 ,6281 ,7156 ,10528 ,9624 ,10536 ,13174 ,14806 ,16817 ,18561 
TOTAL,CN_X_HK,MIO_EUR,DE,17126 ,18110 ,19053 ,22476 ,28533 ,35121 ,43149 ,48727 ,51461 ,45163 ,63033 ,64331 ,61184 ,57639 ,60922 ,69064 ,70030 ,72430 ,75503 ,76941 ,82051 ,98031 
TOTAL,CN_X_HK,MIO_EUR,DK,1429 ,1470 ,1475 ,1816 ,2160 ,2885 ,3417 ,3897 ,4294 ,3706 ,4675 ,4664 ,4868 ,4838 ,5179 ,5609 ,5606 ,5848 ,6093 ,6286 ,6723 ,8570 
TOTAL,CN_X_HK,MIO_EUR,EE,164 ,418 ,265 ,257 ,233 ,302 ,332 ,299 ,294 ,182 ,337 ,555 ,596 ,575 ,606 ,625 ,642 ,687 ,691 ,652 ,747 ,922 
TOTAL,CN_X_HK,MIO_EUR,EL,757 ,925 ,1028 ,1223 ,1423 ,1703 ,1819 ,2867 ,3306 ,3046 ,2261 ,2191 ,2148 ,1959 ,2292 ,2552 ,2821 ,2719 ,3445 ,4061 ,3743 ,5009 
TOTAL,CN_X_HK,MIO_EUR,ES,4136 ,4414 ,4758 ,5659 ,7158 ,9782 ,12116 ,15786 ,17108 ,11951 ,15952 ,15597 ,14797 ,14419 ,16529 ,19808 ,19914 ,21455 ,22579 ,24840 ,25141 ,30522 
TOTAL,CN_X_HK,MIO_EUR,EU27_2020,60650 ,66632 ,73608 ,89299 ,108663 ,136381 ,167110 ,200700 ,216472 ,184797 ,245447 ,255959 ,250140 ,238932 ,256519 ,295915 ,298933 ,322752 ,342635 ,362752 ,383457 ,472348 
TOTAL,CN_X_HK,MIO_EUR,EU28,74728 ,82161 ,90419 ,106579 ,129203 ,161008 ,195816 ,233863 ,249102 ,215274 ,283355 ,294746 ,292003 ,279913 ,302293 ,351072 ,352168 ,375371 ,395955 ,420709 ,: ,: 
TOTAL,CN_X_HK,MIO_EUR,FI,935 ,867 ,957 ,1136 ,1373 ,1953 ,2958 ,3296 ,3168 ,2305 ,2298 ,2622 ,2647 ,1759 ,1856 ,1960 ,1940 ,2046 ,2131 ,2301 ,2497 ,3361 
TOTAL,CN_X_HK,MIO_EUR,FR,8158 ,8343 ,8572 ,9591 ,11652 ,14480 ,15839 ,18194 ,19163 ,17814 ,23270 ,25077 ,25522 ,24605 ,25461 ,27621 ,26494 ,28138 ,30157 ,32103 ,35992 ,40749 
TOTAL,CN_X_HK,MIO_EUR,HR,96 ,161 ,271 ,358 ,511 ,705 ,911 ,1166 ,1287 ,1036 ,1085 ,1153 ,1157 ,956 ,443 ,525 ,596 ,707 ,816 ,726 ,1079 ,1040 
TOTAL,CN_X_HK,MIO_EUR,HU,1031 ,1489 ,2209 ,2914 ,3661 ,3816 ,4307 ,5394 ,5586 ,4837 ,6560 ,6189 ,5495 ,5169 ,4813 ,5150 ,5308 ,5611 ,6449 ,7502 ,8862 ,9893 
TOTAL,CN_X_HK,MIO_EUR,IE,741 ,718 ,763 ,1101 ,1293 ,1550 ,1767 ,2013 ,1879 ,1714 ,1890 ,1802 ,1888 ,2008 ,2192 ,2688 ,2785 ,2973 ,3599 ,3146 ,3836 ,6997 
TOTAL,CN_X_HK,MIO_EUR,IT,7028 ,7484 ,8307 ,9553 ,11828 ,14135 ,17911 ,21689 ,23606 ,19334 ,28789 ,29574 ,25006 ,23071 ,25075 ,28232 ,27346 ,28460 ,30889 ,31665 ,32144 ,38525 
TOTAL,CN_X_HK,MIO_EUR,LT,89 ,135 ,193 ,269 ,237 ,291 ,369 ,498 ,542 ,325 ,430 ,452 ,531 ,565 ,666 ,725 ,709 ,823 ,864 ,929 ,1179 ,1595 
TOTAL,CN_X_HK,MIO_EUR,LU,89 ,81 ,74 ,1549 ,2022 ,2249 ,3539 ,3417 ,4086 ,3321 ,1656 ,1439 ,1535 ,1282 ,1193 ,2438 ,1135 ,319 ,459 ,1509 ,276 ,284 
TOTAL,CN_X_HK,MIO_EUR,LV,26 ,30 ,45 ,60 ,72 ,105 ,153 ,257 ,250 ,145 ,220 ,301 ,362 ,342 ,355 ,417 ,403 ,440 ,491 ,510 ,637 ,860 
TOTAL,CN_X_HK,MIO_EUR,MT,61 ,60 ,66 ,86 ,66 ,58 ,102 ,93 ,106 ,118 ,117 ,152 ,161 ,136 ,147 ,213 ,185 ,170 ,212 ,255 ,363 ,298 
TOTAL,CN_X_HK,MIO_EUR,NL,8705 ,10440 ,12000 ,14739 ,18998 ,25827 ,30972 ,37746 ,40382 ,36897 ,49475 ,51217 ,55293 ,53375 ,57017 ,66925 ,71426 ,83363 ,85523 ,88789 ,91067 ,110428 
TOTAL,CN_X_HK,MIO_EUR,PL,1500 ,1805 ,2197 ,2560 ,2331 ,2606 ,3571 ,5050 ,6276 ,5557 ,6934 ,7433 ,7968 ,8469 ,10558 ,13087 ,14076 ,16316 ,17976 ,20536 ,23242 ,31121 
TOTAL,CN_X_HK,MIO_EUR,PT,382 ,351 ,345 ,371 ,459 ,569 ,773 ,1063 ,1342 ,1115 ,1578 ,1526 ,1391 ,1370 ,1599 ,1778 ,1819 ,2051 ,2350 ,2953 ,3067 ,10087 
TOTAL,CN_X_HK,MIO_EUR,RO,189 ,282 ,392 ,583 ,852 ,1316 ,1738 ,1667 ,2397 ,1903 ,2549 ,2528 ,2086 ,1972 ,2354 ,2889 ,3440 ,3789 ,4407 ,4537 ,5059 ,6198 
TOTAL,CN_X_HK,MIO_EUR,SE,1859 ,1809 ,1823 ,2295 ,2558 ,3196 ,3906 ,4716 ,4776 ,4145 ,5599 ,5969 ,6279 ,6172 ,6543 ,7414 ,7133 ,7385 ,7756 ,8527 ,8097 ,10797 
TOTAL,CN_X_HK,MIO_EUR,SI,149 ,177 ,238 ,291 ,141 ,213 ,305 ,447 ,616 ,553 ,934 ,1046 ,912 ,1018 ,1131 ,1459 ,1321 ,1436 ,1777 ,2016 ,2150 ,5871 
TOTAL,CN_X_HK,MIO_EUR,SK,191 ,260 ,366 ,493 ,387 ,408 ,739 ,1587 ,2078 ,1414 ,2039 ,2215 ,2441 ,2500 ,2471 ,2748 ,3087 ,3037 ,2842 ,2902 ,2772 ,3581 
TOTAL,CN_X_HK,MIO_EUR,UK,14077 ,15530 ,16811 ,17280 ,20540 ,24627 ,28706 ,33163 ,32630 ,30477 ,37908 ,38787 ,41863 ,40981 ,45774 ,55158 ,53235 ,52618 ,53320 ,57957 ,: ,: 
TOTAL,DAC,MIO_EUR,AT,4273 ,4739 ,5161 ,5378 ,6153 ,7572 ,9602 ,10893 ,12576 ,9343 ,11702 ,13038 ,13901 ,15051 ,15541 ,15435 ,14826 ,17398 ,19102 ,19276 ,16212 ,21014 
TOTAL,DAC,MIO_EUR,BE,21509 ,21938 ,23052 ,22695 ,26074 ,30252 ,35355 ,40134 ,41701 ,32101 ,39557 ,46533 ,45497 ,43420 ,47659 ,50521 ,52131 ,54673 ,55990 ,56090 ,52630 ,67443 
TOTAL,DAC,MIO_EUR,BG,747 ,945 ,1116 ,1575 ,2028 ,2522 ,4197 ,5406 ,6133 ,3733 ,4020 ,4291 ,4235 ,4547 ,4928 ,4965 ,5203 ,6365 ,7022 ,7448 ,7727 ,9879 
TOTAL,DAC,MIO_EUR,CY,496 ,554 ,552 ,661 ,551 ,589 ,829 ,976 ,1025 ,710 ,852 ,742 ,664 ,467 ,1117 ,1026 ,1105 ,1300 ,1294 ,1104 ,1023 ,1296 
TOTAL,DAC,MIO_EUR,CZ,2219 ,3180 ,4639 ,5277 ,4107 ,3711 ,5848 ,7810 ,9168 ,7400 ,11938 ,14490 ,12890 ,12005 ,13657 ,16674 ,15289 ,17670 ,21365 ,23267 ,24079 ,28352 
TOTAL,DAC,MIO_EUR,DE,61209 ,61322 ,59948 ,64199 ,73116 ,84294 ,108335 ,119961 ,128887 ,104798 ,137843 ,153415 ,150393 ,144950 ,148350 ,159021 ,159135 ,172080 ,178154 ,180077 ,172823 ,209008 
TOTAL,DAC,MIO_EUR,DK,3696 ,3945 ,3937 ,4353 ,5263 ,6199 ,6968 ,7830 ,9105 ,7315 ,9033 ,9520 ,9966 ,9946 ,10284 ,10802 ,10617 ,11257 ,11452 ,11983 ,12064 ,15251 
TOTAL,DAC,MIO_EUR,EE,308 ,599 ,498 ,496 ,426 ,454 ,798 ,800 ,975 ,524 ,738 ,1105 ,1339 ,983 ,971 ,974 ,1032 ,1155 ,1578 ,1360 ,1373 ,2167 
TOTAL,DAC,MIO_EUR,EL,5981 ,6486 ,5813 ,6245 ,7539 ,8770 ,11631 ,14012 ,15220 ,11382 ,11537 ,12544 ,13403 ,13477 ,14604 ,12210 ,12097 ,14132 ,17624 ,17697 ,13809 ,21504 
TOTAL,DAC,MIO_EUR,ES,30064 ,30282 ,30260 ,31900 ,37720 ,49175 ,64116 ,69538 ,76683 ,51974 ,66791 ,75445 ,80706 ,77060 ,79533 ,77632 ,74812 ,88442 ,96076 ,95012 ,78851 ,103256 
TOTAL,DAC,MIO_EUR,EU27_2020,293319 ,299804 ,300512 ,315898 ,362064 ,436317 ,557714 ,619682 ,678774 ,518430 ,665193 ,741194 ,752069 ,712710 ,729374 ,760654 ,749907 ,840352 ,898066 ,921386 ,851791 ,1081678 
TOTAL,DAC,MIO_EUR,EU28,347059 ,357461 ,359669 ,372554 ,425883 ,505448 ,640496 ,705456 ,763310 ,592606 ,756534 ,841525 ,864028 ,817862 ,838721 ,882312 ,870050 ,958117 ,1018102 ,1048634 ,: ,: 
TOTAL,DAC,MIO_EUR,FI,2508 ,2463 ,2463 ,2766 ,3375 ,4157 ,5865 ,6414 ,6558 ,4443 ,5255 ,6449 ,6082 ,5249 ,5279 ,4651 ,4515 ,4886 ,5116 ,4785 ,5048 ,7058 
